(1)  features before the surgery, (2)  immediately before surgery, (2)  immediately after surgery,(3)  3-6 months post-surgery ,(4) outcomes we want to predict? ,,,,,,,,,,,,
"StxLocation 0=penile, 1=bulbar, 2= membranous/posterior, 3=panurethral, 4= penobulbar, 5= bulbomembranous, 6 = pars fixa",Preop urine Positive (1=yes; 0 = no),"Type of Urethroplasty 1 = augmented with BMG inlay or onlay, 2= onlay with flap, 3 = Augmented anastomosis with graft, 4= anastomotic (any type), 5=combined/other",PVD (post void drip),"Failure from surgery to follow-up (0=no, 1=yes)",,,,,,,,,,,,
"Distal Bulbar Involvement (0=No, 1=Yes)",Preop Urine C+S done (yes/no),"Tissue Transfer 0=no, 1=yes BMG, 2= yes tunica dartos(vaginalis) flap, 3=yes combined graft/flap, 4= PIF, 5= other",ED (Erectile dysfunction),"90d Clavien II or higher Complication? (N=0, Yes=1)",,,,,,,,,,,,
"Penile Involvement (0=No, 1=Yes)",Preop Abx? (yes/no),Transection of the Urethra (yes/no),stricture recurrence ,Patient satisfied at 5-6mos (yes or no),,,,,,,,,,,,
"StxEtiology(0=idio, 1=trauma, 2=bxo/ls, 3= radiation (EBRT/BT), 4=hypospadias, 5=iatrogenic, 6=inflammatory/infectious",Preop ED? (yes/no),"Type of Urethroplasty (1=EPA/variant; 2=graft, BMG; 3=flap; 4=2stage/urethrostomy; 5=multiple different approaches; 6=other)","Cysto patent at 4-6mo 0=no, 1=yes, 2= not done","Cystoscopy – patent at 12-18 months  0=no (BAD), 1= not done, 2= yes (good)",,,,,,,,,,,,
"Stx Length (cm) based on urethrogram/OR note , the biggest","ED? No = 0, yes = 1",1 or 2 Stage Procedure (could change to 0 and 1),Cystoscopy – patent at 3-6 months (yes/no),Time to Failure or Follow-up (months) (surgery to failure),,,,,,,,,,,,
Number of Strictures,Preop UTI or Abcess? (yes/no),Length of catheterization (days),"Cystoscopy – patent at 12-18 months  0=no (BAD), 1= not done, 2= yes (good)",LOS (days),,,,,,,,,,,,
"Preop Comorbidities (use Charlson's comorbidity scale, see Sheet 3)","If yes, UTI or Abscess?",Pathology (results),Time to Failure or Follow-up (months) (surgery to failure),,,,,,,,,,,,,
Cormorbidity? No = 0; > or = 1 = 1,UTI or Abcess? 0 = no; 1 = yes; 2 = unknown,LOS (days),"90d Clavien II or higher Complication? (N=0, Yes=1)",,,,,,,,,,,,,
Diabetes (yes 1 /no 0 ),Preop Indwelling suprapubic catheter (SPC),Suprapubic Catheter Postop (if they had one before OR 2nd stage),"90d Clavien Grade– Clavien I-1, Clavien II-2, Clavien IIIa=3, Clavien IIIb=4, Clavien IVa=5, Clavien IVb=6, Clavien V=7)",,,,,,,,,,,,,
COPD (yes/no),,SP cath post op (yes=1; no = 0),"Number of Early complications (0,1,2,3, etc.)",,,,,,,,,,,,,
COPD (1=yes; 0=no),,,"90d Type of significant complication. 0=Wound (infection, abscess, hematoma), 1=UTI treated (uti, epididymitis, etc.), 2=Catheter-related 3=Hematuria requiring catheter change, surgery, admission, etc, 4=Acute urinary retention after catheter removal, 5=cardiovascular, 6=pulmonary, 7=Other",,,,,,,,,,,,,
Smoker (yes 1 /no 0 ),,,"90d Type of any complication (categorized) (0=Wound (infection, abscess, hematoma), 1=UTI treated (uti, epididymitis, etc.), 2=Catheter-related – catheter change, dislodged and came out, etc), 3=Hematuria requiring treatment (requiring catheter change, surgery, admission, etc.), 4=Acute urinary retention after catheter removal, 5=cardiovascular, 6=pulmonary, 7=Other)",,,,,,,,,,,,,
Smoker (0=no/quit>3mo; 1=yes),,,"90d Clavien Grade (I will use the updated Clavien dindo classification as attached) – Clavien I-1, Clavien II-2, Clavien IIIa=3, Clavien IIIb=4, Clavien IVa=5, Clavien IVb=6, Clavien V=7)",,,,,,,,,,,,,
