Survival_bin_0,Survival_bin_1,Survival_bin_2
1.0,0.98326194,0.30464533
1.0,0.9832576,0.3091572
0.99999994,0.983187,0.30700207
1.0,0.98316014,0.30455086
1.0,0.98345923,0.3168874
1.0,0.98334813,0.3121637
1.0,0.9831561,0.3088621
1.0,0.98402566,0.33918422
1.0,0.9838314,0.3285172
1.0,0.9842042,0.3447081
1.0000001,0.9836157,0.32474285
1.0,0.9830944,0.309175
1.0,0.98358583,0.32350314
0.99999994,0.98376185,0.3340218
1.0,0.98325145,0.3090413
1.0,0.9834726,0.31278786
1.0,0.9833356,0.3103197
1.0000001,0.9840083,0.33845732
1.0000001,0.98302495,0.2980648
1.0,0.983163,0.31125596
1.0,0.98367465,0.32800892
1.0,0.9834272,0.31358397
1.0,0.98354375,0.31862715
1.0,0.98368645,0.3259093
1.0,0.9849323,0.37362382
1.0,0.9851774,0.3883212
1.0,0.9836445,0.33329767
1.0,0.98368704,0.32660186
1.0,0.9841615,0.34329835
1.0,0.98328483,0.30965596
0.99999994,0.983187,0.30700207
1.0,0.9839077,0.34018198
1.0000001,0.9838444,0.3367854
1.0,0.98329705,0.309888
1.0,0.98320866,0.30783448
1.0,0.984182,0.34365222
0.9999999,0.9835824,0.3234202
1.0,0.98376846,0.32464182
1.0,0.9833003,0.309969
1.0,0.98399764,0.33990288
1.0,0.9835919,0.3236219
1.0,0.98359716,0.32320696
1.0,0.98324656,0.31373343
1.0,0.9844446,0.36337143
1.0,0.98328686,0.30649862
1.0,0.9832174,0.3051473
1.0,0.9835691,0.3199008
1.0,0.9832052,0.29969192
0.99999994,0.9832566,0.30587274
1.0,0.98457205,0.34935096
1.0,0.9836123,0.32465973
1.0,0.9842654,0.34653872
1.0,0.9836838,0.331704
1.0000001,0.98364997,0.31980196
1.0,0.98326975,0.309389
1.0,0.9832542,0.30907628
1.0,0.98381793,0.32967052
1.0,0.9831748,0.30677125
0.99999994,0.9832903,0.30942255
1.0,0.9833962,0.3137906
1.0,0.98431385,0.35210863
